Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
war,2,3.5,0.00%,42.86%,0:02:47,1.5
watson,2,2.5,0.00%,20.00%,0:00:38,1.5
Watson house,2,5,0.00%,20.00%,0:02:21,1.5
whittemore,2,1.5,0.00%,66.67%,0:05:57,0.5
winter,2,11.5,0.00%,8.70%,0:19:10,6.5
women athletics,2,1.5,0.00%,66.67%,0:02:01,7
women's basketbal,2,5,50.00%,10.00%,0:01:43,2
world war,2,2,0.00%,50.00%,0:01:32,0
zoo book,2,11,0.00%,9.09%,0:01:32,0
"""alex haley""",1,4,0.00%,0.00%,0:00:50,1
"""calendar discussion""",1,6,100.00%,0.00%,0:14:45,0
"""Cambridge """,1,3,0.00%,33.33%,0:01:23,0
"""Cambridge Economics Program""",1,1,0.00%,100.00%,0:00:06,0
"""Cambridge OCS""",1,3,100.00%,66.67%,0:01:15,0
"""Cambridge Program""",1,1,0.00%,100.00%,0:00:06,0
"""Canoe Club""",1,1,0.00%,100.00%,0:28:54,0
"""Canoe House""",1,3,0.00%,33.33%,0:05:14,1
"""Carleton Corporation""",1,1,0.00%,0.00%,0:00:33,1
"""carleton forest""",1,1,0.00%,100.00%,0:28:14,0
"""Carleton Forest""",1,2,100.00%,0.00%,0:00:06,0
"""carleton student association""",1,7,0.00%,14.29%,0:06:14,1
"""Carleton The First Century""",1,1,0.00%,100.00%,0:00:10,0
"""class honors""",1,1,0.00%,100.00%,0:00:08,0
"""CMC""",1,2,0.00%,50.00%,0:01:14,0
"""Cold war""",1,2,100.00%,0.00%,0:00:13,0
"""common reading""",1,1,0.00%,100.00%,0:06:47,0
"""Computing and Math Center""",1,2,100.00%,50.00%,0:00:08,0
"""Dean of Students""",1,1,100.00%,0.00%,0:00:00,0
"""Dean of Women""",1,1,0.00%,100.00%,0:00:35,0
"""Dean of Women"" 1918",1,1,0.00%,100.00%,0:00:12,0
"""freshman honors""",1,1,0.00%,100.00%,0:00:09,0
"""harriett sheridan",1,1,0.00%,100.00%,0:00:06,0
"""investment committee""",1,2,0.00%,50.00%,0:03:00,1
"""korean war""",1,2,0.00%,100.00%,0:07:36,0
"""lenny dee""",1,9,0.00%,11.11%,0:30:53,4
"""mary savina""",1,4,100.00%,0.00%,0:00:42,0
"""mixed race""",1,1,0.00%,100.00%,0:00:08,0
"""myra brown""",1,1,0.00%,100.00%,0:00:05,0
"""n word""",1,1,100.00%,0.00%,0:00:00,0
"""Off Our Backs""",1,1,100.00%,0.00%,0:00:00,0
"""paris""",1,1,0.00%,100.00%,0:00:26,0
"""residential life""",1,5,0.00%,20.00%,0:08:06,0
"""Residential Life""",1,5,0.00%,20.00%,0:01:23,0
"""Starr Foundation""",1,4,0.00%,25.00%,0:00:55,0
"""teach in""",1,1,0.00%,100.00%,0:00:57,0
"""The First Century""",1,1,0.00%,0.00%,0:00:15,1
