Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
christmas,3,1.67,66.67%,40.00%,0:07:36,1
ciner,3,1,33.33%,66.67%,0:01:21,0
class,3,21.67,0.00%,4.62%,0:08:04,6.67
coffee,3,1,33.33%,66.67%,0:13:14,9.33
computer lab,3,1,0.00%,100.00%,0:03:00,0.33
cornerstone,3,1.33,0.00%,75.00%,0:01:02,0
correspondence,3,2.67,33.33%,37.50%,0:09:22,1
diet prowe,3,2.67,66.67%,12.50%,0:07:23,0
diethelm prowe,3,1,33.33%,66.67%,0:00:59,0
diversity,3,1.33,33.33%,75.00%,0:11:16,4.33
divestment,3,3,0.00%,33.33%,0:02:06,1.67
dixon bond,3,2,100.00%,0.00%,0:01:32,0.67
DL,3,5.33,100.00%,0.00%,0:07:47,0
doc evans,3,1,66.67%,33.33%,0:00:20,0.33
dope book,3,2.67,66.67%,25.00%,0:02:57,0
dorms,3,1.67,33.33%,40.00%,0:01:16,0
drama,3,3,33.33%,22.22%,0:01:48,5
druid robe,3,2.67,66.67%,12.50%,0:05:20,3
duniway,3,1.33,0.00%,50.00%,0:10:24,1.67
eating,3,2.67,0.00%,50.00%,0:07:10,1.33
economics,3,4.33,66.67%,7.69%,0:09:54,0.67
eiler henrickson,3,2,0.00%,50.00%,0:05:04,0
eleanor hansen,3,6.33,0.00%,10.53%,0:06:56,1.33
eliet,3,2,33.33%,16.67%,0:02:09,4.67
elle hansen,3,2.33,0.00%,71.43%,0:00:35,0.67
emily skinner,3,2.67,0.00%,37.50%,0:00:58,0
ETB,3,6.67,0.00%,20.00%,0:02:56,0.33
