Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth,Alternate Spellings
Graphic,2,1,0.00%,50.00%,0:05:07,15,0
Guevara,2,2,0.00%,75.00%,0:00:20,0,1
Halloween,2,1,100.00%,0.00%,0:00:00,0,0
Harry Liem,2,6.5,100.00%,0.00%,0:10:43,31.5,1
Harry S. Martin,2,2.5,100.00%,0.00%,0:01:48,0,1
High School,2,1,0.00%,100.00%,0:00:43,1,0
Hughes Family,2,2,0.00%,50.00%,0:05:40,0,0
Hundred Years,2,2.5,50.00%,40.00%,0:00:21,0,0
Interest House,2,1,50.00%,50.00%,0:00:05,0,1
International,2,1.5,50.00%,33.33%,0:00:15,0,0
Interview Video,2,8,50.00%,6.25%,0:02:16,0,0
Iseminger,2,1,0.00%,50.00%,0:06:56,0.5,0
James Flint,2,1,50.00%,50.00%,0:00:15,0,1
Jan Elder,2,3.5,0.00%,45.84%,0:12:29,0,1
John W Nason,2,8,0.00%,53.34%,0:39:55,2.5,1
Korean War,2,4,0.00%,58.34%,0:04:14,0,1
Laird Field,2,3.5,0.00%,14.29%,0:08:04,4.5,0
Larry Gould,2,2,0.00%,25.00%,0:01:04,2.5,0
Late Night Trivia,2,1,0.00%,100.00%,0:05:16,0,0
Leighton,2,5.5,0.00%,18.18%,0:09:09,0.5,0
Leighton Hall,2,4.5,0.00%,22.22%,0:21:56,6,0
Lenny Dee,2,6.5,0.00%,18.05%,0:15:48,2.5,1
Lgbc,2,3.5,0.00%,28.57%,0:16:36,1,0
Lgbt,2,1.5,0.00%,66.67%,0:01:25,0.5,0
Lyman,2,2.5,50.00%,20.00%,0:00:15,0,0
Lyman Sperry,2,1.5,50.00%,33.33%,0:02:40,0,0
Madrigal,2,2,0.00%,0.00%,0:05:14,1.5,0
Magnetic Tape,2,2,0.00%,25.00%,0:03:05,1.5,0
Maitland,2,2.5,50.00%,20.00%,0:00:19,0.5,0
Manuscript,2,1,0.00%,100.00%,0:01:22,0,0
Margaret Evans,2,1,0.00%,50.00%,0:01:03,2.5,0
Margaret Thompson,2,1,0.00%,100.00%,0:00:21,0,0
Margaret Thomson,2,1.5,0.00%,33.33%,0:00:40,2,0
Martha Donaldson,2,2.5,0.00%,0.00%,0:04:14,3,0
Mary Savina,2,2.5,50.00%,0.00%,0:00:32,0.5,1
Master Plan,2,3,50.00%,16.67%,0:00:29,0,0
Maxwell,2,2.5,50.00%,12.50%,0:03:41,2,1
Medley,2,1.5,100.00%,0.00%,0:00:10,0,0
Men Tennis,2,5.5,100.00%,0.00%,0:02:28,0.5,0
Men's Golf,2,5.5,50.00%,9.09%,0:02:19,2.5,0
Metric Football,2,2.5,0.00%,60.00%,0:02:43,0.5,0
Miac,2,16.5,0.00%,28.23%,0:28:29,19.5,1
Mid Winter Ball,2,5.5,0.00%,27.27%,0:01:31,3,0
Midwinter Ball,2,8.5,0.00%,5.88%,0:01:06,6.5,0
Minnesota Regional Network,2,1,0.00%,100.00%,0:00:04,0,0
Missionary,2,2.5,0.00%,0.00%,0:02:57,4.5,0
Morgan Fellows,2,1,0.00%,100.00%,0:00:08,0,0
Morgan Major,2,1.5,50.00%,33.33%,0:00:22,0,0
Motto,2,1,50.00%,50.00%,0:00:08,0,0
Mp4,2,1,0.00%,100.00%,0:01:45,6.5,0
Mug Shots,2,2,0.00%,25.00%,0:01:01,1,0
Myers,2,5,50.00%,10.00%,0:10:49,4.5,0
N Word,2,1,50.00%,50.00%,0:00:08,0,1
Navigating The Nineties,2,1,100.00%,0.00%,0:00:00,0,0
Negro Affairs Committee,2,2,100.00%,0.00%,0:00:29,0,1
News Press,2,3,100.00%,0.00%,0:00:19,0,0
News Releases,2,2,100.00%,0.00%,0:00:06,0,0
Nnb,2,2.5,50.00%,25.00%,0:00:27,0,1
Noon News Bulletin,2,1.5,0.00%,66.67%,0:00:31,0,0
Northfield Bridge,2,1,0.00%,50.00%,0:00:48,0.5,0
Nourse Hall,2,5.5,0.00%,9.09%,0:06:17,3.5,0
Observatory,2,3.5,0.00%,28.57%,0:12:11,2,0
Off-Campus Studies,2,2,50.00%,25.00%,0:00:23,0,0
Off-Campus Studies Collection,2,1.5,100.00%,0.00%,0:00:03,0,0
Old Observatory,2,4.5,50.00%,0.00%,0:00:34,1.5,0
Olin,2,4.5,0.00%,0.00%,0:01:02,3,0
Oral History Interviews,2,3,0.00%,37.50%,0:01:31,0.5,1
Orchestra,2,1,50.00%,50.00%,0:06:10,0,0
Organ,2,1.5,0.00%,75.00%,0:05:03,0.5,1
Oscar Penguin,2,2.5,50.00%,41.66%,0:00:27,1,1
Pancake Hall,2,8.5,50.00%,0.00%,0:21:59,5.5,0
Paris,2,4.5,0.00%,62.50%,0:05:34,2,1
Party,2,6,0.00%,16.67%,0:06:40,4.5,0
Pat Lam,2,2,0.00%,50.00%,0:06:48,0,0
Patricia Lamb,2,3,0.00%,33.33%,0:03:43,0,0
Pau,2,1.5,0.00%,66.67%,0:00:39,0,0
Paul Wellstone,2,3.5,0.00%,14.29%,0:03:02,4.5,0
Paul Welstone,2,2,0.00%,50.00%,0:01:23,1.5,1
Pear,2,2,0.00%,66.66%,0:06:58,5.5,1
Pear Department Review,2,7,0.00%,14.29%,0:06:32,0,0
Phenix,2,7,0.00%,21.43%,0:13:22,9.5,0
Philip Phenix,2,2,100.00%,0.00%,0:00:38,0,0
Philosophy,2,5.5,0.00%,0.00%,0:02:04,9.5,0
Polio,2,1.5,50.00%,0.00%,0:00:10,0.5,0
Political Freshmen,2,1.5,100.00%,0.00%,0:00:03,0,0
Porter,2,1.5,50.00%,25.00%,0:00:06,0,1
Postage Stamp Prairie,2,2,0.00%,50.00%,0:04:12,20.5,0
Poster,2,8,50.00%,6.25%,0:02:21,1,0
Promotional Video,2,6,0.00%,0.00%,0:24:51,6,0
Raka Mitra,2,3,100.00%,0.00%,0:00:16,0,0
Red Tie,2,1.5,0.00%,66.67%,0:11:22,0,0
Reine Myers,2,3,50.00%,25.00%,0:01:17,0,1
Religion,2,2,0.00%,25.00%,0:05:22,1.5,0
Rockefeller,2,3,100.00%,0.00%,0:00:25,0,0
Romeo,2,2.5,0.00%,40.00%,0:10:02,5,0
Rules,2,3,50.00%,16.67%,0:01:46,0,0
Sallmon,2,1.5,0.00%,66.67%,0:00:33,1,0
Sayles-Hill,2,6,50.00%,0.00%,0:00:45,3,0
Science,2,9.5,50.00%,5.26%,0:06:01,7.5,0
Sculpture,2,3,50.00%,16.67%,0:00:46,3,0
Seal,2,7,0.00%,7.14%,0:04:10,0.5,0
Seccomb,2,14,0.00%,10.71%,0:05:41,2.5,0
Ser. R1,2,2.5,50.00%,20.00%,0:01:56,0,0
Severance Hall,2,5.5,0.00%,22.91%,0:03:16,5.5,1
Shigemura,2,2.5,50.00%,20.00%,0:01:13,1,0
Sivaslian,2,5.5,100.00%,0.00%,0:10:30,3.5,1
Skiing,2,4,0.00%,12.50%,0:03:56,3,0
Skis,2,1,0.00%,100.00%,0:01:20,0,0
Social Events,2,1.5,50.00%,33.33%,0:04:30,0.5,0
Soldiers,2,2.5,0.00%,40.00%,0:00:21,0.5,0
Sovik,2,1,50.00%,50.00%,0:00:31,1,0
Special Events,2,1.5,0.00%,66.67%,0:02:03,1.5,0
Spring Concert,2,6.5,0.00%,15.38%,0:00:52,2,0
Starr Foundation,2,3,0.00%,37.50%,0:00:56,0,1
Stork Retire,2,3,50.00%,33.33%,0:04:54,1,0
Streaking,2,1,0.00%,100.00%,0:00:14,0,1
Student Employment,2,4,0.00%,25.00%,0:02:13,0,0
Student Majors,2,1.5,50.00%,33.33%,0:00:16,0,0
Teach In,2,2.5,0.00%,62.50%,0:01:15,0.5,1
Teaching Assistant,2,3.5,0.00%,28.57%,0:09:05,0,0
Tenure Review,2,20,50.00%,7.50%,0:04:09,1,0
Test,2,1.5,50.00%,0.00%,0:03:20,1,0
The First Century,2,1,0.00%,50.00%,0:00:23,0.5,1
Theat,2,11.5,50.00%,0.00%,0:30:32,34.5,0
Tim Vick,2,2,50.00%,25.00%,0:08:09,0,0
Tinnin,2,2.5,50.00%,12.50%,0:11:15,3,1
Toff,2,2.5,0.00%,40.00%,0:00:43,0,0
Transcript,2,2.5,50.00%,0.00%,0:00:17,0.5,0
Treasurer's Office,2,2,50.00%,25.00%,0:00:34,0,0
Trivia,2,1,0.00%,100.00%,0:00:53,0,0
Vietnam,2,2.5,0.00%,40.00%,0:00:14,0.5,0
Vietnam War,2,3,0.00%,33.33%,0:00:41,0,1
View Of Carleton,2,3,0.00%,0.00%,0:01:09,4,0
Violette Browne,2,1,50.00%,50.00%,0:07:42,0,0
Visually Impaired,2,1,50.00%,50.00%,0:00:02,0,1
Waggener,2,1,0.00%,0.00%,0:01:04,1.5,1
