Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
board of trustees,1,3,0.00%,33.33%,0:01:13,0
board of trustees,1,1,0.00%,100.00%,0:00:01,0
board of trustees,1,2,0.00%,100.00%,0:00:16,0
board of trustees,1,2,0.00%,50.00%,0:00:53,0
board of trustees,1,2,0.00%,50.00%,0:00:44,0
board of trustees,1,2,0.00%,50.00%,0:00:41,0
board of trustees,1,1,0.00%,100.00%,0:00:20,0
board of trustees,1,2,0.00%,50.00%,0:10:25,0
boarding,2,3,0.00%,33.33%,0:13:28,2
Bob Brookmeyer,1,1,0.00%,100.00%,0:04:01,0
Bob Dixon,1,8,0.00%,12.50%,0:02:42,0
bob morrison,1,1,0.00%,100.00%,0:00:33,0
bob Will,1,1,0.00%,100.00%,0:00:30,0
bobblehead,1,1,100.00%,0.00%,0:00:00,0
boening,2,2.5,0.00%,20.00%,0:02:42,1
